gene	logFC
HST1	-0.088232
RGM1	-1.173734
DER1	0.206216
FPS1	-0.046072
YIP5	0.646998
HRT1	0.655946
YIF1	0.224086
MTC5	-0.178238
RCE1	0.082358
MIG3	-0.47285
FAR3	0.492736
TOM40	-0.3945
ECM4	1.76085
HTA1	-1.208482
CCC2	0.990468
LAS17	0.791544
BNS1	0.54866
FCY1	-1.066226
HLR1	-0.843324
RAD24	0.40993
ETR1	0.40103
VMA1	-0.493688
TIM12	-0.727772
APP1	0.298166
TFC4	0.02936
ALG5	-0.780914
GRX6	1.214816
OST6	-0.50958
FAD1	0.644924
MAS1	0.29296
NUP170	-0.599058
OCA2	-0.649038
HIR2	-0.124758
DEG1	-1.029308
PAN3	0.586008
RRN3	-0.248608
MRPL38	-0.183952
TDA6	-0.503344
IKI3	-1.30042
PMT7	0.429258
ARG81	-0.317838
RPN13	0.073378
XDJ1	0.250726
PAU19	0.33867
CCT5	-1.0056
APT1	-1.774872
SPO73	0.914394
GEA1	-0.718402
DCG1	1.224354
TRK2	-0.284818
RPL15B	-0.770658
ATE1	0.393758
RPC53	-1.69393
GPI15	-0.229758
QCR10	1.971418
AAD15	-0.17641
REV7	0.546674
ERF2	0.504508
JHD2	0.629548
ADE13	-0.95756
PBA1	0.155798
CCT2	-0.730868
SRV2	0.063272
EFT1	-1.133236
PHO13	-0.483402
GPI10	0.445686
OKP1	0.323346
STE18	0.651032
GPI16	-0.51955
DMA2	0.093024
THO2	-0.092172
BCP1	-1.565298
GMC2	0.090962
ZRT1	-1.558278
YFH7	0.64179
RPS25B	-1.715222
ECM29	1.281696
HNM1	-0.136538
HRR25	0.200198
EST3	-0.129182
COS2	0.719804
TMA46	-1.625964
CLN3	-0.068466
NSE3	0.398418
SIP2	1.337394
MRPL10	0.347304
NIT1	0.474882
RIB4	1.082738
PRP5	1.172296
MRPL6	-0.551958
TOK1	0.551576
RCR2	1.55152
TUM1	-0.660286
SEC23	-0.464904
STP22	0.313162
AVT2	0.252578
TRM12	-0.431484
IES2	0.395192
RAD59	0.58624
DED1	-0.908268
UBC8	2.674972
ERD2	-0.13826
RPP2B	-1.629152
KRE2	-0.679446
CEM1	-0.093406
SDO1	-0.727586
RFU1	-1.716728
FAU1	0.043196
YNG2	0.277766
IDP1	-0.667332
SLT2	0.525694
PCA1	0.354278
SWD2	0.093888
TIR3	-1.351852
HYP2	-1.208156
RPS20	-1.196926
LYS9	-0.380404
TIR2	-0.169056
CBT1	0.646712
PEX31	0.132726
COQ5	-0.13732
RPT6	0.17178
TAD1	-0.053118
AAT1	-0.854098
APL4	0.392884
KAR2	-0.315052
EMP47	0.13768
CLF1	-0.06265
HEM15	0.354018
INP53	-0.034802
AVT5	0.072546
SUB2	-0.936012
KAR4	0.912484
CDC20	-0.789464
TOD6	-2.930462
SLM5	1.063826
IMG2	-0.250202
RSM24	0.279444
IES4	-0.067718
SLP1	-0.822218
THI22	0.05712
ALG14	-0.200156
SBE2	0.030156
ATP11	-0.39193
SSC1	-0.944182
PLB1	0.91726
SKS1	1.536026
GLT1	-1.401906
MSN4	0.980124
MET3	0.328486
UTP13	-2.142942
DNF2	-0.221582
AEP2	0.230596
SEC24	-0.513934
FRS2	-1.3551
SSY5	0.474852
LAT1	-0.464542
VBA1	-0.430064
ZPR1	-1.645364
CTK1	0.178168
UTP18	-2.126822
AIM10	0.764626
NNT1	-0.650668
BOP2	3.994238
DTD1	-0.216684
PMP1	-1.53218
EBS1	-0.794004
DBP7	-2.183712
TGL1	0.6171
SLI15	-0.269752
SKI7	0.87941
SOM1	-0.90135
MRP20	0.539876
SPO21	1.048724
RRP7	-0.39049
EMC5	-0.548046
GAB1	-0.052774
SLA2	0.73072
SEC12	-0.042218
RTG2	0.429236
DGK1	-0.48426
DYS1	-1.240596
HEH2	-0.133906
COX10	-0.160946
SDS22	1.79728
IRC14	0
CDC25	0.06019
LRO1	-0.049268
DAN1	-1.355018
PAU24	0.00497
HXT10	0.29946
CMS1	-2.085056
TMN3	-0.29984
CIA2	-0.521076
SPC1	-0.217016
KTR7	-0.372082
SGS1	0.359288
RPL38	-1.781694
RSC6	-0.630508
YTM1	-2.843768
ADD37	0.530758
COS111	1.005666
KEX2	-0.349722
PHO90	-1.214292
MED7	0.135874
PRO2	-0.769034
SDH2	2.041564
AIM29	-0.815244
PEX27	0.908604
CHO1	0.873734
RAD14	0.499658
MEF1	0.117058
CAT2	1.268866
DOA4	1.63804
NAS6	0.141868
HPA3	-0.78958
GLN1	-1.380412
PAU10	-0.236104
SIR4	0.040684
STF1	3.287984
MSN2	1.71049
BUD5	0.318962
PUP1	0.48209
SIP3	0.1523
PEX34	-0.124766
ALG12	0.027434
PHO5	-2.049346
LYS14	-0.168536
PDC5	-0.004412
PRP11	-0.693486
SPR28	1.03226
ECM38	0.601026
RPL17B	-1.95657
FLC3	-0.518184
VAC7	0.602442
RPA14	-0.85219
NCA2	1.438088
SIA1	1.33332
EBP2	-2.786132
COS1	0.664732
HNT2	0.579204
PTK2	2.332746
MRPL51	-0.204692
GGA1	3.389514
KIN2	-0.150832
SHQ1	-0.77376
MRS4	1.451632
MAG2	7e-05
DAL3	1.623974
TOR1	0.717736
SAS2	-0.810106
AXL2	0.792436
NOP56	-2.49898
MET8	-0.479032
RCY1	0.455148
MAP1	-1.097434
EST1	0.213468
GUD1	1.797038
GUP1	0.630074
HTS1	-1.285104
NAM2	0.403338
MSC3	1.085686
ESC2	-0.430884
RIA1	-0.8918
